Spec,Overview,Talents,Rotation,Artifact,Gear,Stat,Enhancements,Macros,Leveling
Death Knight Blood,0,0,1,0,6,x,1,2,
Death Knight Frost,0,1,1,1,7,x,0,4,
Death Knight Unholy,0,1,2,0,7,x,1,4,
Demon Hunter Havoc,0,0,1,0,5,x,0,x,
Demon Hunter Vengeance,0,0,1,0,5,x,0,x,
Druid Balance,0,0,1,0,5,x,0,2,
Druid Guardian,0,0,1,0,6,x,0,2,
Druid Feral,0,0,1,0,6,x,0,2,
Druid Restoration,0,0,1,1,7,x,1,4,
Hunter Beast Mastery,0,0,2,2,6,x,0,4,
Hunter Marksmanship,1,3,2,1,7,x,1,6,
Hunter Survival,0,0,1,0,5,x,0,2,
Mage Arcane,0,0,1,0,5,x,0,2,
Mage Fire,0,0,1,0,5,x,0,2,
Mage Frost,0,0,1,0,5,x,0,2,
Monk Brewmaster,0,0,1,1,5,x,0,2,
Monk Mistweaver,0,0,1,0,5,x,0,2,
Monk Windwalker,0,0,1,0,6,x,0,2,
Paladin Holy,0,0,1,0,5,x,0,2,
Paladin Protection,0,2,1,1,8,x,1,4,
Paladin Retribution,0,0,2,0,7,x,1,5,
Priest Discipline,0,0,1,1,6,x,1,4,
Priest Holy,0,0,1,0,6,x,0,2,
Priest Shadow,0,0,1,0,5,x,0,2,
Rogue Assassination,0,0,1,0,5,x,0,2,
Rogue Outlaw,0,0,1,0,5,x,0,2,
Rogue Subtlety,0,0,1,0,5,x,1,2,
Shaman Elemental,0,0,1,0,6,x,0,2,
Shaman Enhancement,0,0,1,0,5,x,1,2,
Shaman Restoration,0,0,1,0,6,x,1,4,
Warlock Affliction,0,0,1,1,6,x,0,2,
Warlock Destruction,0,0,1,0,5,x,0,2,
Warlock Demonology,0,0,1,0,6,x,0,2,
Warrior Arms,0,0,1,1,6,x,1,2,
Warrior Fury,0,0,1,0,6,x,0,2,
Warrior Protection,0,0,1,1,7,x,1,5,

Death Knight Blood Rotation Title has the wrong format. "<Blood Death Knight Rotation Guide – Legion 7.3>" instead of "<Blood Death Knight Rotation Rotation – Legion 7.3>" 
Death Knight Blood Gear Title has the wrong format. "<Blood Death Knight Gear Recommendations>" instead of "<Blood Death Knight Gear, Tier Sets & BiS – Legion 7.3>" 
DK doesn't show up 2 times on Blood Death Knight Gear Guide
DK doesn't show as often as it should on Blood Death Knight Gear Guide - Only 0 appearances in 11 aliases
